Province,Latitude,Longitude,Risk_Level,Predicted_Risk,Risk_Score,Total Cases,Total Cases per Million,Case Fatality Rate
Aceh,4.225614628,96.91052174,Sedang,Sedang,0.00652024498485362,44038,8392.58,5.05
Bali,-8.369471688,115.1317136,Tinggi,Tinggi,0.015331289099687147,166831,39569.32,2.84
Banten,-6.456736388,106.1090043,Tinggi,Tinggi,0.014774947700337177,333875,31138.16,0.88
Bengkulu,-3.533583627,102.3384213,Rendah,Rendah,0.0031076411738734794,29173,14589.86,1.79
DKI Jakarta,-6.204698991,106.8361183,Tinggi,Tinggi,0.12246931402870204,1412511,130231.62,1.1
Daerah Istimewa Yogyakarta,-7.89450185,110.4448783,Tinggi,Tinggi,0.012922441792371587,224307,61775.29,2.64
Gorontalo,0.687002604,122.3760581,Rendah,Rendah,0.00389517676550949,13951,11816.36,3.49
Jambi,-1.69769766,102.7236404,Tinggi,Tinggi,0.011678824940941447,38643,11061.85,2.3
Jawa Barat,-6.920432083,107.6037083,Tinggi,Tinggi,0.014404930059111691,1173731,25989.74,1.36
Jawa Tengah,-7.259097177,110.2011149,Sedang,Sedang,0.009667300631914011,636409,17501.04,5.26
Jawa Timur,-7.723345579,112.7329414,Tinggi,Tinggi,0.013594313390541547,601545,14860.66,5.28
Kalimantan Barat,-0.086474572,111.1211776,Tinggi,Tinggi,0.012078457289060476,65605,12097.96,1.73
Kalimantan Selatan,-2.993594979,115.4385783,Sedang,Sedang,0.004600938810227782,87476,21743.71,2.95
Kalimantan Tengah,-1.602484653,113.4176536,Rendah,Rendah,0.0039392974867626385,58217,22649.98,2.69
Kalimantan Timur,0.45385803,116.4684405,Sedang,Sedang,0.006722880187630268,209017,58841.71,2.74
Kalimantan Utara,2.891012621,116.2188791,Rendah,Rendah,0.003047245340667915,45417,70043.97,1.89
Kepulauan Bangka Belitung,-2.447444127,106.5499324,Sedang,Sedang,0.009392204004592673,66144,47938.53,2.44
Kepulauan Riau,3.916346,108.261746,Sedang,Sedang,0.00532796506429759,70883,36738.36,2.66
Lampung,-4.916792975,105.0214366,Tinggi,Tinggi,0.016534212509148445,75485,8299.08,5.55
Maluku,-3.192572,129.576792,Tinggi,Tinggi,0.01298333613130859,18736,10143.48,1.57
Maluku Utara,0.212036949,127.5391072,Sedang,Sedang,0.004485893660137358,14595,11159.94,2.29
Nusa Tenggara Barat,-8.606998866,117.5086257,Sedang,Sedang,0.0046442935339349786,36247,6877.67,2.49
Nusa Tenggara Timur,-8.682205,121.592271,Sedang,Sedang,0.006755836733500203,94415,17447.68,1.62
Papua,-4.66620953,138.69603,Sedang,Sedang,0.006766076041955185,49927,11502.99,1.16
Papua Barat,-2.045160182,132.9762624,Rendah,Rendah,0.0040263009317608005,32170,28201.96,1.2
Riau,0.511647851,101.8051092,Rendah,Rendah,0.004220888214880942,152648,25130.97,2.92
Sulawesi Barat,-2.461746053,119.3450194,Rendah,Rendah,0.0035388003046062204,15601,10000.74,2.53
Sulawesi Selatan,-3.731080714,120.1620559,Rendah,Rendah,0.0034953516285126224,144494,15327.86,1.72
Sulawesi Tengah,-1.00413668,121.2010927,Sedang,Sedang,0.005643006182062522,61099,20672.51,2.84
Sulawesi Tenggara,-4.124688793,122.070311,Rendah,Rendah,0.0033383043550177438,25693,9748.96,2.21
Sulawesi Utara,1.259638212,124.5212396,Sedang,Sedang,0.008935882867506396,52770,19974.38,2.3
Sumatera Barat,-0.850253225,100.4650624,Tinggi,Tinggi,0.01034862847999949,104640,18959.11,2.27
Sumatera Selatan,-3.216211808,104.1694647,Sedang,Sedang,0.006697778985117716,82198,10002.74,4.11
Sumatera Utara,2.191894453,99.05196442,Sedang,Sedang,0.005717252183551286,158866,10680.15,2.07
